# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Feb 15 22:00:38 2020
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_telescope:   Discovery Telescope
# COLUMN pl_instrument:  Discovery Instrument
# COLUMN pl_pelink:      Link to Exoplanet Encyclopaedia
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
#
pl_name,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_telescope,pl_instrument,pl_pelink,st_age,st_ageerr1,st_ageerr2,st_agelim
Kepler-1221 b,1,12.00096042,0.00005761,-0.00005761,0,909.00,55.17,-42.48,0,5194.00,45.80,-51.51,0,0.87,0.04,-0.04,0,0.82,0.05,-0.03,0,,,,,1.880,0.300,-0.160,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1221_b/,4.570,6.340,-2.810,
Kepler-1222 b,1,1.91694425,0.00000611,-0.00000611,0,455.00,28.81,-29.08,0,5239.00,71.00,-82.33,0,0.84,0.04,-0.05,0,0.80,0.05,-0.05,0,,,,,0.790,0.060,-0.060,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1222_b/,4.370,5.940,-2.600,
Kepler-1223 b,1,16.30125900,0.00010300,-0.00010300,0,455.00,19.39,-20.57,0,4870.00,49.87,-52.19,0,0.80,0.03,-0.04,0,0.75,0.03,-0.03,0,,,,,1.220,0.060,-0.080,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1223_b/,3.630,6.390,-1.960,
Kepler-1224 b,1,13.32351601,0.00007281,-0.00007281,0,578.00,45.18,-33.50,0,6155.00,64.75,-56.71,0,1.18,0.04,-0.03,0,1.22,0.10,-0.07,0,,,,,1.330,0.120,-0.080,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1224_b/,2.340,1.000,-0.841,
Kepler-1225 b,1,7.01075434,0.00002753,-0.00002753,0,1241.00,407.27,-170.85,0,6140.00,133.40,-147.70,0,1.13,0.14,-0.09,0,1.19,0.40,-0.15,0,,,,,1.820,0.610,-0.240,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1225_b/,3.020,1.360,-1.300,
Kepler-1226 b,1,17.29234530,0.00011870,-0.00011870,0,779.00,136.72,-84.36,0,5923.00,147.56,-124.19,0,1.02,0.08,-0.07,0,1.02,0.18,-0.10,0,,,,,1.450,0.260,-0.150,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1226_b/,3.720,2.620,-1.960,
Kepler-1227 b,1,94.28875770,0.00058730,-0.00058730,0,667.00,106.13,-62.96,0,5747.00,108.41,-151.11,0,0.97,0.06,-0.07,0,0.95,0.15,-0.08,0,,,,,2.290,0.520,-0.230,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1227_b/,4.170,3.580,-2.470,
Kepler-1228 b,1,0.57736958,0.00000041,-0.00000041,0,547.00,38.98,-52.80,0,5063.00,94.76,-81.19,0,0.78,0.05,-0.06,0,0.74,0.05,-0.07,0,,,,,1.540,0.110,-0.140,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1228_b/,5.130,5.960,-3.230,
Kepler-1229 b,1,86.82898900,0.00106900,-0.00106900,0,236.00,16.13,-19.81,0,3784.00,38.88,-38.61,0,0.54,0.03,-0.04,0,0.51,0.03,-0.03,0,,,,,1.400,0.110,-0.130,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1229_b/,3.720,5.320,-2.070,
Kepler-123 b,2,17.23236600,0.00005600,-0.00005600,0,1052.14,23.21,-23.21,0,6089.00,121.00,-121.00,0,,,,,1.26,0.24,-0.24,0,,,,,2.940,0.570,-0.570,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-123_b/,,,,
Kepler-123 c,2,26.69507400,0.00046800,-0.00046800,0,1052.14,23.21,-23.21,0,6089.00,121.00,-121.00,0,,,,,1.26,0.24,-0.24,0,,,,,1.480,0.300,-0.300,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-123_c/,,,,
Kepler-1230 b,1,9.95661537,0.00004469,-0.00004469,0,1433.00,259.82,-146.85,0,5961.00,134.01,-116.25,0,1.06,0.08,-0.06,0,1.08,0.19,-0.10,0,,,,,2.710,0.490,-0.290,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1230_b/,3.470,2.000,-1.800,
Kepler-1231 b,1,10.41725184,0.00006556,-0.00006556,0,948.00,191.05,-83.89,0,5778.00,80.33,-107.40,0,1.01,0.06,-0.05,0,1.00,0.20,-0.08,0,,,,,1.420,0.300,-0.120,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1231_b/,4.170,3.030,-2.470,
Kepler-1232 b,1,26.78391830,0.00017860,-0.00017860,0,740.00,94.54,-49.75,0,5471.00,75.31,-111.90,0,0.92,0.04,-0.04,0,0.89,0.11,-0.05,0,,,,,1.930,0.240,-0.160,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1232_b/,4.790,6.230,-3.050,
Kepler-1233 b,1,45.12630420,0.00051710,-0.00051710,0,1281.00,525.45,-200.04,0,6198.00,139.13,-168.47,0,1.16,0.18,-0.10,0,1.25,0.52,-0.18,0,,,,,2.600,1.080,-0.390,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1233_b/,2.880,1.140,-1.100,
Kepler-1234 b,1,11.94014029,0.00008335,-0.00008335,0,866.00,36.75,-42.26,0,4967.00,56.40,-63.05,0,0.80,0.03,-0.04,0,0.76,0.03,-0.03,0,,,,,2.810,0.160,-0.810,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1234_b/,4.370,5.750,-2.570,
Kepler-1235 b,1,4.16055856,0.00002789,-0.00002789,0,533.00,70.26,-37.27,0,5541.00,78.94,-83.29,0,0.93,0.04,-0.05,0,0.90,0.12,-0.06,0,,,,,0.790,0.120,-0.060,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1235_b/,4.570,5.500,-2.880,
Kepler-1236 b,1,31.05716180,0.00025080,-0.00025080,0,1078.00,95.44,-77.92,0,5337.00,155.96,-154.20,0,0.86,0.05,-0.05,0,0.82,0.07,-0.05,0,,,,,2.140,0.180,-0.220,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1236_b/,4.070,5.410,-2.430,
Kepler-1237 b,1,84.57332260,0.00064800,-0.00064800,0,1121.00,147.22,-74.75,0,5472.00,73.56,-109.10,0,0.94,0.04,-0.04,0,0.90,0.12,-0.06,0,,,,,2.860,0.390,-0.210,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1237_b/,4.570,5.710,-2.870,
Kepler-1238 b,1,4.14787559,0.00003447,-0.00003447,0,1533.00,659.84,-351.64,0,6386.00,341.26,-299.46,0,1.30,0.24,-0.18,0,1.48,0.65,-0.32,0,,,,,1.930,0.850,-0.420,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1238_b/,2.140,1.200,-0.649,
Kepler-1239 b,1,5.19104016,0.00002643,-0.00002643,0,2511.00,304.71,-268.79,0,6564.00,153.47,-198.42,0,1.40,0.08,-0.09,0,1.57,0.20,-0.16,0,,,,,2.900,0.370,-0.310,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1239_b/,1.620,0.632,-0.420,
Kepler-124 b,3,3.41049300,0.00002100,-0.00002100,0,425.19,3.08,-3.08,0,4984.00,100.00,-100.00,0,,,,,0.64,0.03,-0.03,0,,,,,0.730,0.050,-0.050,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-124_b/,,,,
Kepler-124 c,3,13.82137500,0.00003700,-0.00003700,0,425.19,3.08,-3.08,0,4984.00,100.00,-100.00,0,,,,,0.64,0.03,-0.03,0,,,,,1.750,0.090,-0.090,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-124_c/,,,,
Kepler-124 d,3,30.95085100,0.00036100,-0.00036100,0,425.19,3.08,-3.08,0,4984.00,100.00,-100.00,0,,,,,0.64,0.03,-0.03,0,,,,,1.110,0.070,-0.070,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-124_d/,,,,
Kepler-1240 b,1,4.86638150,0.00002513,-0.00002513,0,614.00,99.89,-52.76,0,5682.00,103.27,-116.70,0,0.98,0.05,-0.05,0,0.96,0.16,-0.08,0,,,,,1.150,0.200,-0.100,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1240_b/,4.070,4.540,-2.300,
Kepler-1241 b,1,18.55257010,0.00010350,-0.00010350,0,936.00,83.14,-65.36,0,5261.00,180.72,-119.79,0,0.84,0.05,-0.06,0,0.80,0.06,-0.05,0,,,,,2.630,0.210,-0.230,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1241_b/,4.680,6.110,-2.900,
Kepler-1242 b,1,13.62798432,0.00005714,-0.00005714,0,682.00,29.42,-37.12,0,4895.00,84.63,-57.56,0,0.77,0.04,-0.04,0,0.74,0.03,-0.04,0,,,,,2.260,0.130,-0.130,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1242_b/,5.620,5.240,-3.220,
Kepler-1243 b,1,16.83207290,0.00008923,-0.00008923,0,877.00,140.74,-76.00,0,5667.00,113.87,-139.83,0,0.96,0.05,-0.06,0,0.94,0.15,-0.07,0,,,,,1.750,0.280,-0.170,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1243_b/,4.370,4.130,-2.620,
Kepler-1244 b,1,3.70428172,0.00001784,-0.00001784,0,764.00,357.00,-139.21,0,6680.00,94.50,-106.27,0,1.46,0.26,-0.14,0,1.77,0.83,-0.33,0,,,,,1.350,0.630,-0.250,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1244_b/,1.700,0.420,-0.359,
Kepler-1245 b,2,4.35409304,0.00001933,-0.00001933,0,861.00,66.19,-52.28,0,5306.00,77.49,-101.98,0,0.86,0.04,-0.04,0,0.83,0.06,-0.05,0,,,,,1.440,0.120,-0.100,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1245_b/,4.570,6.270,-2.810,
Kepler-1245 c,2,2.93658468,0.00000840,-0.00000840,0,861.00,66.19,-52.28,0,5306.00,77.49,-101.98,0,0.86,0.04,-0.04,0,0.83,0.06,-0.05,0,,,,,1.440,0.130,-0.080,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1245_c/,4.570,6.270,-2.810,
Kepler-1246 b,1,11.32271513,0.00008852,-0.00008852,0,435.00,17.62,-25.53,0,4611.00,49.69,-51.31,0,0.73,0.03,-0.04,0,0.69,0.02,-0.04,0,,,,,1.360,0.200,-0.220,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1246_b/,3.890,6.020,-2.100,
Kepler-1247 b,1,13.71220213,0.00006363,-0.00006363,0,1094.00,87.58,-69.39,0,5303.00,116.55,-112.59,0,0.86,0.04,-0.05,0,0.82,0.06,-0.05,0,,,,,2.330,0.210,-0.160,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1247_b/,4.680,6.650,-2.940,
Kepler-1248 b,1,7.46725407,0.00005302,-0.00005302,0,540.00,30.38,-25.95,0,6149.00,83.25,-74.30,0,1.21,0.04,-0.04,0,1.21,0.06,-0.05,0,,,,,1.180,0.200,-0.110,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1248_b/,1.510,0.705,-0.371,
Kepler-1249 b,1,24.33471270,0.00028860,-0.00028860,0,1674.00,673.73,-277.71,0,6202.00,133.62,-201.72,0,1.19,0.17,-0.12,0,1.28,0.52,-0.20,0,,,,,2.380,0.970,-0.380,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1249_b/,2.820,1.080,-1.110,
Kepler-125 b,2,4.16438900,0.00000300,-0.00000300,0,184.34,0.99,-0.99,0,3810.00,150.00,-150.00,0,,,,,0.51,0.02,-0.02,0,,,,,2.370,0.100,-0.100,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-125_b/,,,,
Kepler-125 c,2,5.77446400,0.00004700,-0.00004700,0,184.34,0.99,-0.99,0,3810.00,150.00,-150.00,0,,,,,0.51,0.02,-0.02,0,,,,,0.740,0.050,-0.050,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-125_c/,,,,
Kepler-1250 b,1,2.60754383,0.00000652,-0.00000652,0,1371.00,312.08,-121.55,0,5717.00,71.36,-82.51,0,0.99,0.05,-0.05,0,0.98,0.22,-0.08,0,,,,,1.920,0.450,-0.170,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1250_b/,4.570,4.060,-2.800,
Kepler-1251 b,1,45.09046430,0.00046300,-0.00046300,0,863.00,113.77,-63.80,0,5545.00,85.54,-95.15,0,0.92,0.05,-0.06,0,0.89,0.12,-0.06,0,,,,,1.840,0.260,-0.140,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1251_b/,4.790,5.710,-3.060,
Kepler-1252 b,1,15.05403290,0.00012480,-0.00012480,0,828.00,204.47,-110.23,0,5949.00,144.60,-218.38,0,1.06,0.09,-0.09,0,1.09,0.27,-0.14,0,,,,,1.670,0.420,-0.230,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1252_b/,3.890,2.360,-2.120,
Kepler-1253 b,1,68.88619150,0.00052700,-0.00052700,0,390.00,52.02,-45.48,0,5850.00,65.89,-56.44,0,0.97,0.06,-0.06,0,1.10,0.15,-0.13,0,,,,,1.330,0.180,-0.180,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1253_b/,7.080,1.800,-2.820,
Kepler-1254 b,3,9.99113313,0.00005610,-0.00005610,0,676.00,31.89,-48.38,0,4985.00,53.00,-45.04,0,0.78,0.04,-0.05,0,0.75,0.03,-0.05,0,,,,,1.550,0.090,-0.120,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1254_b/,5.620,5.650,-3.300,
Kepler-1254 c,3,3.60084276,0.00001900,-0.00001900,0,676.00,31.89,-48.38,0,4985.00,53.00,-45.04,0,0.78,0.04,-0.05,0,0.75,0.03,-0.05,0,,,,,1.300,0.070,-0.120,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1254_c/,5.620,5.650,-3.300,
Kepler-1254 d,3,5.72717226,0.00002908,-0.00002908,0,676.00,31.89,-48.38,0,4985.00,53.00,-45.04,0,0.78,0.04,-0.05,0,0.75,0.03,-0.05,0,,,,,1.310,0.090,-0.110,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1254_d/,5.620,5.650,-3.300,
Kepler-1255 b,1,36.29193360,0.00031560,-0.00031560,0,1344.00,364.65,-175.95,0,6018.00,134.73,-186.81,0,1.08,0.10,-0.09,0,1.12,0.31,-0.14,0,,,,,2.320,0.640,-0.290,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1255_b/,3.550,2.010,-1.760,
Kepler-1256 b,1,12.41277540,0.00010800,-0.00010800,0,862.00,166.76,-121.80,0,6129.00,67.94,-69.29,0,1.17,0.09,-0.06,0,1.36,0.27,-0.19,0,,,,,1.490,0.440,-0.220,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1256_b/,3.720,0.910,-1.030,
Kepler-1257 b,1,2.66831376,0.00000986,-0.00000986,0,1081.00,127.43,-88.57,0,5502.00,168.32,-93.92,0,0.90,0.06,-0.05,0,0.87,0.10,-0.07,0,,,,,1.520,0.180,-0.120,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1257_b/,4.370,5.360,-2.730,
Kepler-1258 b,1,0.98494017,0.00000318,-0.00000318,0,651.00,94.25,-59.45,0,5839.00,79.16,-73.45,0,0.99,0.05,-0.06,0,0.99,0.15,-0.08,0,,,,,0.860,0.130,-0.080,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1258_b/,3.890,3.110,-2.170,
Kepler-1259 b,1,0.66308526,0.00000087,-0.00000087,0,704.00,36.77,-41.10,0,5053.00,113.64,-67.62,0,0.80,0.04,-0.05,0,0.77,0.04,-0.04,0,,,,,1.430,0.070,-0.100,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1259_b/,5.250,6.000,-3.100,
Kepler-126 b,3,10.49571100,0.00002800,-0.00002800,0,239.03,1.67,-1.67,0,6239.00,94.00,-94.00,0,,,,,1.36,0.02,-0.02,0,,,,,1.520,0.100,-0.100,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-126_b/,,,,
Kepler-126 c,3,21.86974100,0.00008200,-0.00008200,0,239.03,1.67,-1.67,0,6239.00,94.00,-94.00,0,,,,,1.36,0.02,-0.02,0,,,,,1.580,0.130,-0.130,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-126_c/,,,,
Kepler-126 d,3,100.28313400,0.00025500,-0.00025500,0,239.03,1.67,-1.67,0,6239.00,94.00,-94.00,0,,,,,1.36,0.02,-0.02,0,,,,,2.500,0.050,-0.050,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-126_d/,,,,
Kepler-1260 b,1,19.11877530,0.00016870,-0.00016870,0,1041.00,279.01,-140.86,0,5961.00,131.56,-192.48,0,1.06,0.09,-0.08,0,1.08,0.30,-0.14,0,,,,,1.770,0.510,-0.280,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1260_b/,3.800,2.210,-1.980,
Kepler-1261 b,1,48.43089910,0.00031440,-0.00031440,0,795.00,38.99,-35.52,0,5006.00,48.34,-44.49,0,0.82,0.03,-0.04,0,0.77,0.03,-0.03,0,,,,,2.260,0.140,-0.140,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1261_b/,4.470,5.910,-2.630,
Kepler-1262 b,1,8.67900242,0.00003790,-0.00003790,0,1153.00,201.88,-104.40,0,5771.00,101.71,-103.42,0,0.99,0.06,-0.06,0,0.98,0.17,-0.09,0,,,,,1.820,0.320,-0.170,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1262_b/,4.270,3.550,-2.520,
Kepler-1263 b,1,4.55139967,0.00002128,-0.00002128,0,695.00,45.01,-42.36,0,5213.00,61.90,-74.37,0,0.84,0.04,-0.04,0,0.80,0.05,-0.05,0,,,,,1.140,0.280,-0.120,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1263_b/,4.900,6.270,-2.980,
Kepler-1264 b,1,0.96852602,0.00000233,-0.00000233,0,814.00,153.30,-81.76,0,5791.00,109.18,-145.15,0,0.99,0.06,-0.06,0,0.98,0.18,-0.09,0,,,,,1.180,0.220,-0.120,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1264_b/,4.170,3.040,-2.500,
Kepler-1265 b,1,6.49441289,0.00002951,-0.00002951,0,581.00,27.29,-50.12,0,4630.00,42.63,-41.20,0,0.71,0.04,-0.05,0,0.69,0.03,-0.05,0,,,,,1.350,0.070,-0.130,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1265_b/,5.250,5.570,-3.080,
Kepler-1266 b,1,28.47474800,0.00020450,-0.00020450,0,901.00,49.38,-56.15,0,5044.00,49.22,-50.99,0,0.80,0.04,-0.05,0,0.76,0.04,-0.05,0,,,,,2.580,0.130,-0.460,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1266_b/,5.130,6.070,-3.170,
Kepler-1267 b,1,13.03139450,0.00011040,-0.00011040,0,1628.00,503.13,-251.88,0,6096.00,119.67,-215.90,0,1.15,0.11,-0.11,0,1.20,0.37,-0.17,0,,,,,3.010,0.950,-0.450,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1267_b/,3.240,1.400,-1.510,
Kepler-1268 b,1,40.99039860,0.00048060,-0.00048060,0,1406.00,450.45,-159.40,0,5904.00,68.91,-79.21,0,1.06,0.08,-0.06,0,1.09,0.36,-0.12,0,,,,,2.030,0.670,-0.230,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1268_b/,4.270,2.220,-2.430,
Kepler-1269 b,1,37.33315360,0.00032100,-0.00032100,0,710.00,192.20,-80.27,0,5998.00,88.20,-88.22,0,1.10,0.09,-0.06,0,1.15,0.32,-0.12,0,,,,,1.630,0.460,-0.180,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1269_b/,3.550,1.680,-1.800,
Kepler-127 b,3,14.43588900,0.00006300,-0.00006300,0,356.41,2.71,-2.71,0,6106.00,106.00,-106.00,0,,,,,1.36,0.04,-0.04,0,,,,,1.400,0.050,-0.050,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-127_b/,,,,
Kepler-127 c,3,29.39319500,0.00007300,-0.00007300,0,356.41,2.71,-2.71,0,6106.00,106.00,-106.00,0,,,,,1.36,0.04,-0.04,0,,,,,2.660,0.140,-0.140,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-127_c/,,,,
Kepler-127 d,3,48.63040800,0.00012800,-0.00012800,0,356.41,2.71,-2.71,0,6106.00,106.00,-106.00,0,,,,,1.36,0.04,-0.04,0,,,,,2.640,0.140,-0.140,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-127_d/,,,,
Kepler-1270 b,1,6.03356196,0.00006551,-0.00006551,0,1204.00,110.86,-145.11,0,5047.00,40.17,-34.17,0,1.28,0.01,-0.11,0,3.38,0.30,-0.41,0,,,,,3.320,0.300,-0.650,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1270_b/,4.370,2.140,-0.120,
Kepler-1271 b,1,3.02559550,0.00001160,-0.00001160,0,885.00,131.56,-95.94,0,6143.00,81.37,-88.49,0,1.13,0.06,-0.06,0,1.23,0.18,-0.13,0,,,,,1.480,0.230,-0.160,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1271_b/,3.630,1.060,-1.510,
Kepler-1272 b,1,51.13097040,0.00045140,-0.00045140,0,896.00,222.28,-96.23,0,5926.00,95.26,-135.18,0,1.06,0.08,-0.07,0,1.09,0.27,-0.11,0,,,,,2.370,0.700,-0.320,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1272_b/,3.890,2.260,-2.100,
Kepler-1273 b,1,28.62565300,0.00021740,-0.00021740,0,1355.00,171.94,-90.29,0,5566.00,77.45,-71.25,0,0.94,0.04,-0.05,0,0.91,0.12,-0.06,0,,,,,2.490,0.330,-0.190,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1273_b/,4.470,5.370,-2.730,
Kepler-1274 b,1,6.98152703,0.00006708,-0.00006708,0,609.00,38.18,-35.48,0,6179.00,54.41,-48.15,0,1.45,0.06,-0.05,0,2.17,0.13,-0.12,0,,,,,1.420,0.100,-0.100,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1274_b/,2.880,0.300,-0.310,
Kepler-1275 b,1,3.65691115,0.00001583,-0.00001583,0,1280.00,556.04,-237.51,0,6296.00,202.94,-214.87,0,1.23,0.21,-0.13,0,1.36,0.60,-0.23,0,,,,,1.480,0.650,-0.270,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1275_b/,2.510,1.080,-0.829,
Kepler-1276 b,1,12.57200950,0.00010980,-0.00010980,0,587.00,67.02,-48.86,0,6188.00,65.25,-55.24,0,1.14,0.05,-0.05,0,1.21,0.14,-0.10,0,,,,,1.190,0.200,-0.110,0,0.95 m Kepler Telescope,Kepler CCD Array,http://exoplanet.eu/catalog/kepler-1276_b/,3.090,1.000,-1.300,
